Employee_ID,First_Name,Last_Name,Gender,Date_of_Birth,Email_Address,Phone_Number,State_of_Origin,Department,Job_Title,Employment_Type,Employment_Status,Date_of_Hire,Date_of_Exit,Monthly_Gross_Salary_NGN,Bank_Name,Bank_Account_Number,Education_Level,Years_of_Experience,Annual_Leave_Balance_Days,Performance_Rating_2024,Manager_Employee_ID,Office_Location,National_ID_Number,Tax_Identification_Number
EMP-01441, Adebayo, Yusuf,M,12/19/1994,adebayo_yusuf@gtech-solutions.ng,719120978,Delta,marketing,Marketing Analyst,Contractor,Active,22-Jan-19,,"#251,000",UBA,4400256371,OND,23,10,Good,Unknown,Abuja Office,1563391807,94033966-9152
EMP-00913, Kelechi,Mohammed ,Male,27.02.1978,kelechi.mohammed@g-tech.com.ng,0075-521-3838,Ekiti,Customer_Service,Customer Service Rep,Part Time,Active,19-Jan-21,,"N158,000",GTBank,1115562798,B.A,NIL,7,3,EMP-00333,Wuse II,3463328742,65948131-6241
EMP-01013,Babatunde, Okwu,MALE,3-Apr-79,babatunde@gtech-solutions.ng,779679470,Plateau,Marketing,Content Strategist,FT,Active,4-Nov-20,,"#431,000",Polaris Bank,367499636,B.Sc,17,14,2,EMP-01290,lag hq,99158973037,53043124-9642
EMP-01431,Blessing,Adewale,Female,8/15/1986,blessing@gtechsolutions.ng,2.34E+11,Abuja,Operations Dept,Facilities Manager,Part Time,Active,12/18/2024,,221.0K,Access Bank,9608212784,B.A,17,14,NIL,EMP-01046,Kano Office,84377211831,56072712-2398
EMP-01169,Yemi,okwu,MALE,6/17/1995,yemi@gtech-solutions.ng,2.34E+11,Kaduna,TECHNOLOGY,Product Manager,CONTRACT,NIL,6/7/2020,,NGN 403000,Zenith Bank,8012636497,HND,19,5,Outstanding,EMP-00350,Kano Office,97522883209,75776905-5288
EMP-00844,Titilayo ,Nwofor,Ms,08.04.1998,tnwofor@gtechsol.ng,2.34E+12,Delta,Sales Dept,Sales Manager,Full-Time,Terminated,4/6/2023,12-Jul-23,"#494,000",Zenith Bank,1195335609,B.Sc,22,14,Good,EMP-00230,Wuse II,95111578723,Not Available
EMP-00680,blessing,Nwofor,Female,24-Oct-80,blessing680@gtechsolutions.com.ng,2.34E+12,Ogun,OPERATIONS,Operations Coordinator,part-time,Active,10.06.2018,,371000 NGN,First Bank,"1,606,180,423",Ph.D,21,2,B,EMP-00999,GRA PH,N/A,45939576-1263
EMP-00107,Damilola,Babatunde,MALE,24/02/1976,dbabatunde@g-tech.com.ng,0071-711-0145,Oyo,Human_Resources,HR Officer,Full-Time,Active,17.10.2019,,152000,Ecobank,"9,209,762,858",B.A,11,2,Below Average,EMP-00845,Lekki,17970623972,28307917-8499
EMP-01495,CHINEDU,musa,Male,02.09.1997,chinedu@gtechsol.ng,2.34E+12,Benue,Executive Dept,Chief Executive Officer,Full-Time,Active,10/31/2018,,"#1,503,000",First Bank,"3,347,324,593",SSCE,11,10,Outstanding,,lag hq,90066632258,68527930-1077
EMP-00478,OLUWASEUN,Taiwo,M,9-Aug-84,oluwaseun@gtechsolutions.ng,2.34E+12,Oyo,SUPPLY CHAIN,Procurement Officer,Full-Time,Active,25/03/2021,,208.0K,Ecobank,"2,715,554,518",B.Eng,13,12,Outstanding,EMP-01145,Wuse II,76569931360,27176774-3261
EMP-00046,Adunola ,Nwofor,Female,5/4/1982,adunola@gtech-solutions.ng,0089-242-1902,Bayelsa,Executive,Chief Technology Officer,part-time,Active,2/19/2023,,2018000,Sterling Bank,3521166052,MBA,5,15,A,,Kano Office,n/a,49203644-1535
EMP-01281,biodun,Eze,male,1/6/1977,biodun@gtech-solutions.ng,2.34E+12,Edo,executive,Chief Technology Officer,full-time,Active,5/8/2021,,1854000 NGN,Access Bank,"1,010,342,318",SSCE,3,15,2,,Lagos - Head Office,1832579816,99526525-4789
EMP-00328, Funmilayo, Usman,F,26.01.1981,funmilayo.usman@gtechsol.ng,+234 087 495 6910,Enugu,Executive Dept,Chief Technology Officer,full-time,Active,6/2/2022,,2293.0K,First Bank,"9,544,081,115",B.A,24,21,Exceeds Expectations,,GRA PH,45353659746,89812200-9237
EMP-01231,Yemi,SULEIMAN,MALE,9/12/1986,yemi.suleiman@gtechsol.ng,2.34E+12,Ondo,Finance,Senior Accountant,PT,Active,12/20/2021,,583000,Polaris Bank,7869448814,MBA,6,5,Below Average,EMP-00482,Ikeja,3228889702,Not Available
EMP-01117,Remi,YUSUF,male,9/5/1975,remi_yusuf@g-tech.com.ng,2.34E+12,Nasarawa,Human Resources,HR Officer,CONTRACT,Terminated,26-Apr-25,27.05.2025,"#394,000",Polaris Bank,1940356911,HND,17,0,Needs Improvement,EMP-00926,lag hq,80768790244,46692059-3596
EMP-01101,gbenga,Usman,m,10-Jul-82,gbenga_usman@gtechsolutions.ng,0089-235-3223,Ogun,CUSTOMER SERVICE,Customer Experience Officer,FT,Active,7/5/2024,,NGN 168000,UBA,585313059,B.A,5 yrs,2,B,EMP-01330,Wuse II,28442718045,22283191-3879
EMP-00234,adekunle,Nwachukwu ,MALE,18-Mar-77,adekunle@gtechsol.ng,2.34E+11,Anambra,Customer_Service,Customer Experience Officer,FT,Active,1/14/2023,,137000 NGN,Polaris Bank,9634729829,B.Eng,7,20,5,EMP-00074,Abuja Office,6211369572,15509893-9251
EMP-01468,Ronke ,Nwachukwu,f,21-Jan-85,ronke_nwachukwu@gtech-solutions.ng,803578563,Imo,Legal,Compliance Officer,Full-Time,Active,5/10/2018,,675000,Stanbic IBTC,6939977940,Ph.D,23,20,Average,EMP-00733,Lagos Island,44168605257,46863333-9359
EMP-01320,IFEANYI,Adeyemi,MALE,18-May-83,ifeanyi.adeyemi@gtechsolutions.ng,2.34E+12,Ondo,Customer_Service,Customer Experience Officer,Part Time,Active,8/6/2023,,249.0K,First Bank,1086128353,MBA,2,2,5,EMP-00810,Kano Office,70554565154,47351526-3882
EMP-00219,Onyinye,Abdullahi,female,9-Dec-96,onyinye@g-tech.com.ng,778731003,Lagos,Technology,Product Manager,contract,Active,5/29/2020,,"??729,000",Zenith Bank,8960435535,B.A,2,12,Exceeds Expectations,EMP-00684,lagos hq,18182819793,67840690-5536
EMP-00433,Uchechi , Haruna,f,5/6/1979,uchechi433@gtech-solutions.ng,875730909,Imo,Operations Dept,Facilities Manager,Part Time,Active,09.01.2020,,114.0K,UBA,645183069,B.A,11,10,Excellent,EMP-01022,#N/A,25703332959,34331410-4641
EMP-01270,Uchechi ,Ogundimu,female,24-Apr-97,uchechi270@gtechsolutions.com.ng,2.34E+12,Kaduna,finance,Senior Accountant,FT,NIL,18.08.2020,,467.0K,GTBank,8885602659,HND,18,5,#N/A,EMP-01315,Lagos Island,51559648703,28176707-2983
EMP-00764,Chidinma,ALIYU,Ms,1-Feb-77,aliyu.chidinma@gtechsolutions.com.ng,2.34E+12,Rivers,customer service,Customer Experience Officer,Contract,Active,6-Dec-23,,"??229,000",Zenith Bank,"6,215,195,812",M.Sc,10,10,Exceeds Expectations,EMP-00232,Port Harcourt Branch,77638319180,41264011-9396
EMP-00636,Chukwuemeka,Okonkwo,Mr,4-Aug-99,okonkwo.chukwuemeka@gtechsolutions.com.ng,2.34E+11,Ekiti,Finance Dept,Treasury Officer,Part-Time,Terminated,04.11.2021,12/2/2023,600000,Unknown,4215558262,B.A,2,0,4,EMP-01473,lag hq,34912321600,90571364-4517
EMP-00125, Kunle,ADEGOKE,Mr,6-Oct-99,kadegoke@gtechsolutions.com.ng,2.34E+12,Cross River,Supply Chain Dept,Warehouse Manager,Full-Time,Terminated,4/14/2020,18/05/2021,206.0K,Polaris Bank,1635885849,MBA,16,10,Excellent,EMP-00090,Ikeja,#N/A,33892205-4933
EMP-01452,kemi,Adeleke ,Female,24/08/2000,kemi.adeleke@gtech-solutions.ng,2.34E+13,Anambra,Legal Dept,Company Secretary,part-time,Active,9/11/2020,,531000,Zenith Bank,"9,416,858,598",HND,15,0,D,EMP-00992,Wuse II,71642074375,71781826-8783
EMP-00325,Amaka , Adesanya,female,2-Mar-96,adesanya.amaka@gtechsolutions.com.ng,2.34E+11,Delta,Supply Chain Dept,Logistics Coordinator,Full Time,Active,8/10/2018,,NGN 229000,FCMB,"8,533,341,510",M.Sc,NULL,0,5,EMP-00568,lagos hq,22775213530,Not Available
EMP-00277,Damilola,SULEIMAN,MALE,4/14/1981,damilola277@g-tech.com.ng,2.34E+12,Edo,HUMAN RESOURCES,Recruitment Specialist,full-time,Active,20/06/2024,,"??151,000",Ecobank,5505411721,Ph.D,9,2,Meets Expectations,EMP-00536,Lagos Island,28773836381,42511183-3537
EMP-01399,Adebayo,Lawal,Mr,27-Apr-92,adebayo399@g-tech.com.ng,2.34E+12,Ogun,Marketing Dept,Marketing Executive,Full-Time,Active,2-Dec-19,,208000,Ecobank,1403105299,SSCE,22,7,Meets Expectations,EMP-00727,GRA PH,Unknown,81636712-1097
EMP-00856,Remi,ADEYEMI,Mr,4/8/1998,remi.adeyemi@gtechsolutions.ng,874966308,Cross River,human resources,Recruitment Specialist,FT,Active,5/9/2018,,317.0K,First Bank,5741459197,MBA,Unknown,2,Average,EMP-00780,Lagos - Head Office,54715433825,75064008-7720
EMP-00987,BIODUN,Okwu ,m,5/26/1994,biodun_okwu@gtechsolutions.com.ng,2.34E+12,Cross River,legal,Legal Officer,contract,On Leave,7/25/2019,,NGN 223000,#N/A,5990177741,Ph.D,12,0,3,EMP-00607,Ikeja,4147140887,87360963-6722
EMP-01104,Chinwe ,Ibrahim,f,27/08/1991,ibrahim.chinwe@gtechsolutions.ng,2.34E+12,Abuja,TECHNOLOGY,Systems Administrator,Part-Time,Active,5/30/2022,,"#778,000",First Bank,"3,761,441,863",OND,21,2,D,n/a,Lagos Island,#N/A,85934342-8289
EMP-00654,Nneka ,Okafor,Ms,14-Feb-98,nokafor@gtechsol.ng,824073627,Kaduna,executive,Chief Technology Officer,contract,Active,28.07.2018,,"??1,639,000",Access Bank,249252046,B.A,20,20,4,,Lagos HQ,55360622306,65992782-8707
EMP-00578,Adebayo,Okafor,MALE,11/16/1993,aokafor@g-tech.com.ng,2.34E+13,Plateau,Sales Dept,Senior Sales Rep,FT,Active,08.09.2024,,320.0K,Sterling Bank,548789993,SSCE,Not Available,5,N/A,EMP-00060,lag hq,56707181292,63569894-2554
EMP-00770,Gbemi,Adeola,male,1-Jul-81,gbemi.adeola@gtech-solutions.ng,2.34E+12,Rivers,Human_Resources,NULL,FT,Active,5-Dec-20,,"N397,000",Access Bank,3620789967,SSCE,15,5,A,EMP-00142,Lagos Island,16379058482,69808943-4079
EMP-00263,muyiwa,FAYEMI,male,4/6/1984,muyiwa.fayemi@g-tech.com.ng,816993668,Oyo,legal,Legal Officer,FULL-TIME,Active,1-Jul-19,,NGN 631000,Access Bank,"5,303,932,022",M.Sc,20,2,3,EMP-01434,Ikeja,40652775844,63833929-7848
EMP-00301,Bola,Abdullahi,FEMALE,12/14/1988,bola_abdullahi@gtech-solutions.ng,834048854,Ondo,Technology,n/a,Full Time,Active,3/16/2020,,828000,First Bank,873535054,M.Sc,5,21,4,EMP-01433,Lagos HQ,Unknown,99461018-8657
EMP-01391,S@d3,AKINTOLA,Ms,28/11/1990,akintola.sade@gtech-solutions.ng,813466349,Ogun,Operations,Operations Manager,CONTRACT,Active,17.07.2021,,"N289,000",Fidelity Bank,788024027,M.Sc,12,10,A,EMP-00760,GRA PH,26348550023,14081060-8562
EMP-00676,blessing,Babatunde,female,7/1/1997,blessing_babatunde@gtechsolutions.com.ng,2.34E+11,Ekiti,MARKETING,Brand Manager,CONTRACT,Active,8/14/2024,,"??350,000",N/A,3988687160,MBA,13,15,Exceeds Expectations,EMP-00002,Port Harcourt Branch,97176350642,71541402-3576
EMP-00446,Bisi,Balogun,F,24-Mar-93,balogun.bisi@gtechsol.ng,863382146,,operations,Operations Officer,contract,Active,28/07/2022,,184000 NGN,GTBank,937393441,M.Sc,Not Available,10,Outstanding,EMP-00235,LAGOS HQ,3356369301,17632213-1617
EMP-00252,DAMILOLA,Fayemi ,Male,3/22/1993,damilola@gtechsolutions.ng,2.34E+12,Rivers,Supply Chain Dept,Warehouse Manager,Part Time,Active,2/7/2022,,"??244,000",GTBank,5669672948,MBA,,20,Below Average,EMP-00545,Lagos HQ,25373377731,84226771-9870
EMP-00616,Akin,Okwu,M,11.07.1998,akin.okwu@gtech-solutions.ng,+234 084 785 6093,Enugu,Operations,Operations Manager,Part-Time,Active,14/06/2019,,162.0K,NULL,1693213711,OND,2,10,1,EMP-00348,Wuse II,27677423935,39128328-4755
EMP-01147,Kunle,Babatunde,Mr,7-Dec-83,kunle.babatunde@gtechsolutions.com.ng,2.34E+12,Ekiti,FINANCE,Accountant,part-time,On Leave,14.08.2020,,"#630,000",Fidelity Bank,9071532681,B.A,18,20,1,EMP-01035,VI Office,18623937840,72132751-2108
EMP-00488,Ebele,akintola,female,13-Sep-91,ebele.akintola@g-tech.com.ng,+234 077 889 9980,Osun,customer service,Customer Experience Officer,Part Time,Inactive,14.01.2020,,186000,Zenith Bank,9698124329,M.Sc,4,20,Outstanding,EMP-01268,Lekki,57446532554,20255700-2792
EMP-01059,Chioma,Nzeka ,FEMALE,1/4/1981,chioma059@g-tech.com.ng,2.34E+12,Kano,Executive,Chief Technology Officer,PT,Inactive,4/12/2021,,916000,UBA,"3,023,235,513",HND,11,20,5,,Lagos Island,38068414579,56608760-8446
EMP-00630,Oluwatobi,Onuoha ,male,7/23/1989,onuoha.oluwatobi@gtechsol.ng,0090-194-5805,Anambra,TECHNOLOGY,IT Support,part-time,Active,27-Aug-19,,257.0K,Zenith Bank,8706812481,n/a,25,,Good,EMP-00434,Port Harcourt Branch,67754658617,98324669-6063
EMP-00567,ADAORA,Taiwo,f,6/7/1982,ataiwo@gtechsolutions.com.ng,+234 080 351 9917,Lagos,Customer Service Dept,Customer Service Rep,Full-Time,Suspended,1/22/2022,,"N94,000",Keystone Bank,5563483717,M.Sc,23,0,Outstanding,EMP-01186,Lagos Island,31414087834,36418676-8628
EMP-00775,Chukwuemeka,Garba,MALE,17/09/1975,chukwuemeka.garba@gtech-solutions.ng,2.34E+12,Kaduna,SUPPLY CHAIN,Supply Chain Analyst,Part Time,Active,19-Feb-24,,362000,Keystone Bank,1834702352,B.Sc,9,0,Needs Improvement,EMP-00889,Abuja Office,31813722938,10927942-6005
EMP-01396,Ifeanyi,Ogundimu,m,19-Jul-93,ifeanyi396@gtechsolutions.ng,2.34E+12,Benue,Finance,Accountant,Part-Time,Active,4/29/2020,,506000,Ecobank,4849044461,B.Sc,9,7,C,EMP-00086,GRA PH,Not Available,NIL
EMP-00965,Shade, Akintola,Ms,23/08/1983,shade965@g-tech.com.ng,+234 075 820 1829,Oyo,finance,Finance Analyst,PT,Active,12/7/2024,,NGN 233000,Polaris Bank,1368491725,HND,5,14,4,EMP-01132,Ikeja,11924912830,67392668-3837
EMP-00439,Nike ,Akintola,Female,23.05.1991,nike_akintola@gtechsolutions.com.ng,858778606,Oyo,Sales,Senior Sales Rep,Contract,Active,1/26/2018,,296000,First Bank,7414223131,SSCE,5,21,3,EMP-01470,Ikeja,70636328630,
EMP-00138,Muyiwa,HARUNA,m,9-Jan-82,muyiwa_haruna@g-tech.com.ng,849314364,n/a,Technology Dept,Product Manager,part-time,Active,25.07.2022,,"N780,000",Polaris Bank,379185779,MBA,7,10,TBD,EMP-00050,LAGOS HQ,43173505831,93156815-8184
EMP-01041,Obinna,Mohammed,Male,10-Oct-76,obinna@g-tech.com.ng,2.34E+11,Cross River,Supply Chain,Warehouse Manager,Part Time,Active,23-Feb-25,,NGN 228000,First Bank,388709470,HND,23,0,Outstanding,EMP-01106,Lekki,67763966352,Unknown
EMP-01224,Yemi,obiora,M,1-Sep-91,obiora.yemi@g-tech.com.ng,+234 075 990 7653,Nasarawa,Human_Resources,Learning & Development Officer,contract,Active,11/18/2023,,411000,Polaris Bank,3827374975,n/a,NIL,15,Outstanding,#N/A,LAGOS HQ,91929447633,71112498-9005
EMP-00399,TUNJI,Ajayi ,Male,12/4/1996,tunji.ajayi@g-tech.com.ng,2.34E+12,Lagos,Technology Dept,IT Support,Part-Time,Active,24.06.2018,,869000,Keystone Bank,486548221,B.Eng,9,20,N/A,EMP-00494,Abuja Office,60472205397,73894187-8821
EMP-01259,NNAMDI,Lawal,M,6-Sep-95,nnamdi259@gtechsolutions.com.ng,2.34E+12,Ondo,OPERATIONS,Operations Manager,Contractor,Terminated,16.10.2018,2/18/2022,232000,Polaris Bank,1254369610,SSCE,TBD,15,2,EMP-00144,N/A,63684263361,88699872-2550
EMP-00880, Biodun,Usman,male,14-Jul-83,biodun@gtechsolutions.ng,0079-366-0131,Edo,Finance,Senior Accountant,PART-TIME,Active,11-Jul-20,,"??562,000",Fidelity Bank,"1,230,028,463",B.Eng,6,10,N/A,EMP-00738,Lekki,TBD,15368933-4097
EMP-00982,Titi,Ajayi,female,19/12/1994,tajayi@gtech-solutions.ng,2.34E+12,Ondo,Technology,DevOps Engineer,Part Time,Active,7/9/2021,,518000 NGN,Keystone Bank,8150485169,Ph.D,10,2,Outstanding,EMP-01232,Lagos Island,25913720677,Unknown
EMP-00055,Yinka, Mohammed,female,4/22/1978,yinka055@gtech-solutions.ng,718913550,Imo,supply chain,Supply Chain Analyst,contract,Active,6/16/2020,,263000,UBA,1772303297,MBA,12,0,A,EMP-01155,Kano Office,Unknown,10091737-6435
EMP-00028,Blessing ,Adegoke ,Female,2-Aug-97,blessing.adegoke@gtechsol.ng,2.34E+13,Ekiti,Human Resources Dept,HR Officer,full-time,Active,14/12/2021,,"N219,000",FCMB,8544878538,M.Sc,4,14,D,EMP-00792,Port Harcourt Branch,75841616928,23770458-2311
EMP-01311,chinedu,Musa,MALE,4/9/1985,chinedu.musa@gtechsolutions.com.ng,885793798,Anambra,Operations,Operations Manager,CONTRACT,Active,8-Jul-22,,344000,FCMB,5659792990,M.Sc,2,5,4,EMP-01062,LAGOS HQ,78961783225,90287546-2707
EMP-00348,chukwuemeka,Garba,Mr,10/28/1988,chukwuemeka348@gtechsol.ng,2.34E+11,Enugu,Supply_Chain,Procurement Officer,Part-Time,Active,10/21/2024,,329000,First Bank,430851868,M.Sc,13,5,A,EMP-00193,Ikeja,98992553946,11212316-8280
EMP-00512,Ngozi,Usman,Female,3/14/1982,usman.ngozi@gtechsolutions.ng,2.34E+13,Bayelsa,Human Resources,HR Manager,contract,Active,23-Nov-24,,"N225,000",GTBank,4040918202,B.Eng,20,12,Below Average,EMP-00463,Lekki,474867948,95305783-9500
EMP-00627,Dapo,Nwofor,male,9-Dec-84,dnwofor@gtechsol.ng,881695678,Anambra,Operations Dept,Operations Officer,Full Time,Terminated,5/24/2019,7/28/2023,"N148,000",Keystone Bank,"2,950,759,402",NULL,24,5,Needs Improvement,,LAGOS HQ,59841420248,56509823-1807
EMP-01293,Dele, Adeleke,M,9/7/1980,dele.adeleke@gtechsolutions.ng,2.34E+11,Nasarawa,Supply Chain,Procurement Officer,Contract,Active,8-Feb-22,,259.0K,Access Bank,"4,365,185,641",#N/A,9,7,N/A,EMP-00488,Port Harcourt Branch,12947299263,14367672-1548
EMP-01156,AMAKA,Eze,female,1/15/1992,amaka.eze@g-tech.com.ng,2.34E+11,Nasarawa,finance,Finance Analyst,Contract,Active,15/01/2020,,590000 NGN,Polaris Bank,"9,301,553,361",HND,18,2,1,Not Available,Wuse II,48359127536,50423135-8749
EMP-00212,Chidi,mohammed,m,25.11.1996,chidi212@gtech-solutions.ng,2.34E+12,Delta,technology,Data Analyst,PART-TIME,Terminated,12-Dec-21,5/16/2024,863000,FCMB,9499295746,SSCE,10+ years,5,Below Average,EMP-01338,Lekki,9329981996,53623487-5095
EMP-00474,Lanre,ALIYU,m,3/24/1996,lanre_aliyu@g-tech.com.ng,2.34E+13,Cross River,Finance,Senior Accountant,PART-TIME,Terminated,5/10/2021,2/26/2022,181000,FCMB,2458503016,Ph.D,12,Not Available,Meets Expectations,EMP-00548,Lekki,81539885217,54005745-6631
EMP-01387,Oluwaseun,BALOGUN,male,22-May-92,oluwaseun.balogun@gtechsolutions.com.ng,2.34E+12,Abuja,Human Resources,Recruitment Specialist,Part Time,Active,31-May-22,,"N222,000",Access Bank,5108192461,B.A,22,0,A,EMP-01183,LAGOS HQ,1207308163,Not Available
EMP-01253,Akin,Okonkwo ,Male,14.12.1986,aokonkwo@gtechsol.ng,2.34E+12,Enugu,MARKETING,Digital Marketing Officer,contract,Active,12/8/2023,,251000,Polaris Bank,1218277968,B.Eng,6,14,Excellent,EMP-00832,Ikeja,54077488168,11414249-5569
EMP-01288,Chukwuemeka,Nwofor,male,13-Mar-82,chukwuemeka.nwofor@gtechsolutions.com.ng,2.34E+13,Ondo,HUMAN RESOURCES,HR Business Partner,Full Time,Not Available,4/26/2020,,"??369,000",Fidelity Bank,"4,391,031,428",SSCE,TBD,5,N/A,EMP-01363,Lagos Island,77070345621,54360740-3239
EMP-01318,SEGUN,Lawal ,male,7/28/1977,segun318@gtech-solutions.ng,2.34E+13,Kano,Executive Dept,NIL,FT,Active,29.08.2023,,852000,Fidelity Bank,6683683048,OND,3,7,Outstanding,,Wuse II,40291332276,37782640-3953
EMP-01489,Kehinde,Babatunde,Ms,24-Feb-83,kehinde_babatunde@gtech-solutions.ng,0083-247-3809,Enugu,Operations,Facilities Manager,Part-Time,Active,20.06.2024,,"#198,000",Fidelity Bank,"9,130,993,825",Ph.D,25,15,Exceeds Expectations,EMP-00583,Kano Office,23892565846,36592260-8897
EMP-01286,Chiamaka , Obi,Ms,14/04/2000,chiamaka@gtech-solutions.ng,2.34E+11,Rivers,Marketing,Marketing Executive,Contract,Active,15/11/2018,,274.0K,Polaris Bank,879111382,MBA,7,20,Average,EMP-00327,VI Office,22189870162,44187325-5401
EMP-01171,Niyi,OKAFOR,Male,6/25/1981,niyi.okafor@gtech-solutions.ng,907239860,Rivers,marketing,Marketing Analyst,Full-Time,Active,8/9/2020,,215000,Ecobank,3318881285,NULL,3,15,Needs Improvement,EMP-00259,Lagos - Head Office,68686630709,65452589-5650
EMP-01491,Oluwakemi,GARBA,female,11/18/1983,oluwakemi491@g-tech.com.ng,2.34E+13,Abuja,operations,Process Analyst,Contractor,Suspended,4/24/2019,,193000,Stanbic IBTC,9971242562,Ph.D,6,15,2,EMP-00734,Wuse II,Unknown,
EMP-00239,Sola,ONUOHA,M,15.11.1998,onuoha.sola@gtechsolutions.com.ng,2.34E+12,,Supply Chain,TBD,CONTRACT,Active,5-Sep-20,,"#254,000",#N/A,489045292,HND,14,12,A,EMP-01132,Lagos Island,71581021312,30670352-4882
EMP-01248,Ifeoma,NWACHUKWU,FEMALE,7/3/1977,ifeoma@gtechsolutions.com.ng,0070-844-1703,Osun,Executive,Chief Executive Officer,full-time,Active,12/6/2020,,NGN 3490000,Polaris Bank,3333714386,MBA,20,10,Outstanding,,lag hq,84446117954,59393726-8509
EMP-01063,Adaora,CHUKWU,f,21.11.1998,adaora_chukwu@gtechsolutions.com.ng,2.34E+12,Plateau,FINANCE,Finance Manager,PART-TIME,Active,15.05.2022,,439000,GTBank,1630664206,HND,2,2,Outstanding,EMP-00043,TBD,39947834881,63220893-1103
EMP-00888,Kayode,Okwu,m,12-Apr-82,kayode888@gtechsolutions.ng,0074-517-4803,Ogun,Customer Service,CS Manager,contract,Active,3/15/2024,,135000,Stanbic IBTC,"6,557,196,017",OND,n/a,21,Below Average,EMP-01302,Lekki,91577014111,80910930-2768
EMP-01390,Okechukwu,Nwosu,MALE,20-Oct-75,okechukwu.nwosu@gtechsol.ng,+234 075 277 8775,Anambra,Executive Dept,Chief Executive Officer,Full-Time,Active,5/31/2020,,1894000,Fidelity Bank,8442983316,#N/A,24,14,Below Average,,Lagos - Head Office,40501368194,98772268-7075
EMP-01284, Uchechi,Yusuf,F,26/09/1997,uchechi284@gtechsolutions.com.ng,2.34E+11,Plateau,Supply_Chain,Logistics Coordinator,Full-Time,On Leave,11/14/2021,,NGN 213000,First Bank,"2,670,152,729",HND,2,5,1,EMP-00936,VI Office,31302203735,59050980-4813
EMP-01383, Joke,Adeola,female,12/12/1986,joke.adeola@gtech-solutions.ng,2.34E+12,Benue,Sales,Business Development Officer,full-time,Active,3-Jan-20,,"N480,000",Fidelity Bank,4149038169,HND,20,0,Meets Expectations,EMP-01431,Lagos Island,74154633441,21789731-3899
EMP-01226, Adekunle,Yusuf,M,27.03.1993,adekunle.yusuf@gtechsol.ng,2.34E+12,Enugu,MARKETING,Marketing Analyst,part-time,Active,3/28/2020,,"N288,000",Fidelity Bank,990791518,HND,19,15,N/A,EMP-00616,lag hq,33962599917,13934871-3986
EMP-00625, Akin,Fayemi ,Male,4/2/1983,akin625@gtechsolutions.com.ng,2.34E+13,Abuja,technology,Software Developer,Part-Time,Terminated,27/08/2022,12/12/2023,457000 NGN,Sterling Bank,873268640,M.Sc,11,15,Outstanding,EMP-00729,Lekki,14369745783,70809589-9949
EMP-00871,Obinna ,Usman,Mr,27-Feb-96,obinna871@gtechsolutions.ng,2.34E+11,Ekiti,Marketing,Digital Marketing Officer,CONTR,Active,10-Sep-18,,"#428,000",Fidelity Bank,5982678164,B.A,3,0,3,EMP-01201,Lekki,57349438563,58120389-9387
EMP-00480,ADUNOLA,nwachukwu,Ms,8-Mar-81,adunola.nwachukwu@gtechsol.ng,2.34E+12,Oyo,Marketing,Content Strategist,CONTR,Active,31.12.2023,,"#211,000",Stanbic IBTC,482646756,MBA,20,10,Needs Improvement,EMP-00551,GRA PH,97521353175,54258702-3599
EMP-00740,Niyi,Nwachukwu ,male,13/01/1994,niyi_nwachukwu@gtech-solutions.ng,2.34E+13,Imo,Executive,Chief Financial Officer,Contractor,Terminated,3/22/2023,14/11/2023,"N972,000",Keystone Bank,6434114540,OND,5,20,Average,,Lekki,36436531459,47574051-7108
EMP-01473,Tunde, Usman,Mr,12/2/1997,tusman@g-tech.com.ng,2.34E+12,Benue,Finance,Treasury Officer,full-time,Active,2-May-18,,381.0K,FCMB,855160156,B.A,n/a,0,2,EMP-00351,Ikeja,91671613701,Unknown
EMP-01358,Ebele ,Usman ,Ms,11/7/1991,ebele358@gtechsolutions.ng,+234 083 998 7745,Bayelsa,Legal,Legal Manager,CONTR,Active,2/25/2021,,"??570,000",Access Bank,6242479280,Not Available,9,20,Needs Improvement,EMP-01407,Lagos Island,87583318390,27413527-2420
EMP-00924,Obiageli,Obiora ,FEMALE,16-Dec-92,obiageli@gtechsol.ng,2.34E+12,NULL,finance,Accountant,FT,n/a,22/12/2019,,"#460,000",Polaris Bank,9945834685,B.A,16,14,B,EMP-01243,LAGOS HQ,19194874612,98508414-2367
EMP-00137,TAIWO,Adegoke,f,4/3/1986,taiwo@g-tech.com.ng,2.34E+11,Imo,customer service,Customer Experience Officer,PART-TIME,Inactive,26/02/2022,,193000 NGN,Zenith Bank,5225369518,B.Sc,21,10,Exceeds Expectations,EMP-00397,GRA PH,99219212493,46819677-4143
EMP-01054,adaeze,Akintola ,F,6-Jan-92,aakintola@gtechsolutions.ng,+234 077 976 3336,Nasarawa,Customer Service Dept,Customer Experience Officer,Contract,Active,15-Jul-24,,"??150,000",Zenith Bank,"2,642,208,133",B.Eng,22,14,Average,EMP-00113,Lagos Island,7247660531,92775654-8875
EMP-01062,Chidinma,Okonkwo,Ms,3/5/1980,chidinma.okonkwo@gtechsol.ng,859543081,TBD,Customer Service Dept,CS Manager,full-time,Active,10.05.2018,,175000,Zenith Bank,7651400072,OND,2,0,2,EMP-00003,lagos hq,72170466870,99999952-2980
